week_start,restaurant_id,revenue,expenses,profit,total_sold,n_menu_items,has_promotion,special_event,n_active_days,margin_pct,week_of_year,month,quarter,week_sin,week_cos,month_sin,month_cos,revenue_lag_1w,expenses_lag_1w,profit_lag_1w,revenue_lag_2w,expenses_lag_2w,profit_lag_2w,revenue_lag_4w,expenses_lag_4w,profit_lag_4w,revenue_lag_8w,expenses_lag_8w,profit_lag_8w,sold_lag_1w,sold_lag_4w,revenue_roll4w,expenses_roll4w,profit_roll4w,revenue_roll8w,expenses_roll8w,profit_roll8w,revenue_roll12w,expenses_roll12w,profit_roll12w,sold_roll4w,revenue_std4w,expenses_std4w,profit_std4w,revenue_trend,expenses_trend,profit_trend,revenue_lag_52w,profit_lag_52w,avg_price_lag1,margin_lag1,margin_roll4,promo_x_revenue,event_x_revenue,days_active_lag1,restaurant_type_Cafe,restaurant_type_Casual Dining,restaurant_type_Fine Dining,restaurant_type_Food Stall,restaurant_type_Kopitiam
2024-01-01,1,10909.45,3822.3999999999996,7087.049999999999,1482,2,1,0,2,0.6496248665148104,1,1,1,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0
2024-01-08,1,6218.17,1899.0,4319.17,211,1,0,0,1,0.6946046827281982,2,1,1,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,10909.45,3822.3999999999996,7087.049999999999,,,,,,,,,,1482.0,,,,,,,,,,,,,,,,,,,,7.35633850303439,0.6495653249865954,,0.0,0.0,2.0,0,0,0,1,0
2024-01-15,1,16251.66,5887.099999999999,10364.560000000001,2190,4,1,0,4,0.6377539279064417,3,1,1,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,6218.17,1899.0,4319.17,10909.45,3822.3999999999996,7087.049999999999,,,,,,,211.0,,,,,,,,,,,,,,,,,,,,29.330990566037737,0.6944929950459627,,6218.17,0.0,1.0,0,0,0,1,0
2024-01-22,1,13801.259999999998,5097.5,8703.759999999998,1246,3,1,0,3,0.6306496653204128,4,1,1,0.4647231720437685,0.8854560256532099,0.49999999999999994,0.8660254037844387,16251.66,5887.099999999999,10364.560000000001,6218.17,1899.0,4319.17,,,,,,,2190.0,,,,,,,,,,,,,,,,,,,,7.4174623459607485,0.6377146879341598,,16251.66,0.0,4.0,0,0,0,1,0
2024-01-29,1,10416.930000000002,4133.2,6283.7300000000005,555,2,1,1,2,0.6032228305268442,5,1,1,0.5680647467311558,0.8229838658936564,0.49999999999999994,0.8660254037844387,13801.259999999998,5097.5,8703.759999999998,16251.66,5887.099999999999,10364.560000000001,10909.45,3822.3999999999996,7087.049999999999,,,,1246.0,1482.0,11795.135,4176.5,7618.635,,,,,,,1282.25,4311.694528515827,1740.3817991080768,2574.661937012314,2891.8099999999977,1275.1000000000004,1616.7099999999991,,,11.067570168404169,0.6306039735521574,0.6458585799501277,13801.259999999998,13801.259999999998,3.0,0,0,0,1,0
2024-02-05,1,2080.25,662.5,1417.75,265,1,0,0,1,0.6815286624203821,6,2,1,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,10416.930000000002,4133.2,6283.7300000000005,13801.259999999998,5097.5,8703.759999999998,6218.17,1899.0,4319.17,,,,555.0,211.0,11672.005,4254.2,7417.805,,,,,,,1050.5,4352.259805239111,1726.1832019419799,2659.8690607434046,4198.760000000002,2234.2,1964.5600000000004,,,18.735485611510796,0.603164928157513,0.6354666172078227,0.0,0.0,2.0,0,0,0,1,0
2024-02-12,1,21541.63,7168.8,14372.830000000002,2829,3,1,0,6,0.667211812662273,7,2,1,0.7485107481711011,0.6631226582407953,0.8660254037844386,0.5000000000000001,2080.25,662.5,1417.75,10416.930000000002,4133.2,6283.7300000000005,16251.66,5887.099999999999,10364.560000000001,,,,265.0,2190.0,10637.525,3945.075,6692.450000000001,,,,,,,1064.0,6186.095928992695,2302.9136709467275,3895.265155570286,-14171.41,-5224.599999999999,-8946.810000000001,,,7.820488721804511,0.6812012012012012,0.6290768692088424,2080.25,0.0,1.0,0,0,0,1,0
2024-02-19,1,17700.2,6272.799999999999,11427.400000000001,2492,3,1,0,4,0.6456085241974667,8,2,1,0.8229838658936564,0.5680647467311559,0.8660254037844386,0.5000000000000001,21541.63,7168.8,14372.830000000002,2080.25,662.5,1417.75,13801.259999999998,5097.5,8703.759999999998,,,,2829.0,1246.0,11960.017500000002,4265.5,7694.5175,,,,,,,1223.75,8066.151435281367,2715.4181495060143,5385.367826827152,7740.370000000003,2071.3,5669.070000000003,,,7.611883392226149,0.6671808409651004,0.6432995771471782,21541.63,0.0,6.0,0,0,0,1,0
2024-02-26,1,2327.3,721.0,1606.3,259,2,1,0,2,0.6901989429811368,9,2,1,0.8854560256532099,0.4647231720437686,0.8660254037844386,0.5000000000000001,17700.2,6272.799999999999,11427.400000000001,21541.63,7168.8,14372.830000000002,10416.930000000002,4133.2,6283.7300000000005,10909.45,3822.3999999999996,7087.049999999999,2492.0,555.0,12934.7525,4559.325,8375.427500000002,12364.94375,4367.912499999999,7997.03125,,,,1535.25,8581.90897254752,2893.22103934352,5717.454197842341,7283.269999999999,2139.5999999999995,5143.670000000001,,,7.09995988768552,0.6455720516123201,0.6474634931365609,17700.2,0.0,4.0,0,0,0,1,0
2024-03-04,1,17541.2,7099.599999999999,10441.6,3370,3,1,0,5,0.5952614416345517,10,3,1,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,2327.3,721.0,1606.3,17700.2,6272.799999999999,11427.400000000001,2080.25,662.5,1417.75,6218.17,1899.0,4319.17,259.0,265.0,10912.345000000001,3706.2749999999996,7206.070000000001,11292.175000000001,3980.2374999999997,7311.9375,,,,1461.25,10177.844808754946,3500.122046800654,6684.413420832079,247.05000000000018,58.5,188.54999999999995,,,8.951153846153847,0.6899025039728557,0.660298927597359,2327.3,0.0,2.0,0,0,0,1,0
2024-03-11,1,23184.21,7373.9,15810.310000000001,1814,4,1,0,4,0.6819430120758914,11,3,1,0.970941817426052,0.23931566428755804,1.0,6.123233995736766e-17,17541.2,7099.599999999999,10441.6,2327.3,721.0,1606.3,21541.63,7168.8,14372.830000000002,16251.66,5887.099999999999,10364.560000000001,3370.0,2829.0,14777.5825,5315.549999999999,9462.032500000001,12707.553750000001,4630.3125,8077.24125,,,,2237.5,8503.747167174302,3089.961554777016,5496.98969420764,-4000.4300000000003,-69.20000000000073,-3931.2300000000014,,,5.203559774547612,0.5952275085223062,0.6402530486262807,17541.2,0.0,5.0,0,0,0,1,0
2024-03-18,1,8749.76,2581.3,6168.46,1843,4,0,0,4,0.7049861939070329,12,3,1,0.992708874098054,0.120536680255323,1.0,6.123233995736766e-17,23184.21,7373.9,15810.310000000001,17541.2,7099.599999999999,10441.6,17700.2,6272.799999999999,11427.400000000001,13801.259999999998,5097.5,8703.759999999998,1814.0,2492.0,15188.227499999999,5366.825,9821.4025,13574.122500000001,4816.162499999999,8757.960000000001,,,,1983.75,8966.338489541033,3132.3760889299347,5953.116691786328,5484.009999999998,1101.1000000000004,4382.91,,,12.773669421487602,0.681913599229854,0.646603160035624,0.0,0.0,4.0,0,0,0,1,0
2024-03-25,1,8693.880000000001,2803.1,5890.78,1453,3,0,0,4,0.6775777903536739,13,3,1,1.0,-1.6081226496766364e-16,1.0,6.123233995736766e-17,8749.76,2581.3,6168.46,23184.21,7373.9,15810.310000000001,2327.3,721.0,1606.3,10416.930000000002,4133.2,6283.7300000000005,1843.0,259.0,12950.6175,4443.95,8506.6675,12942.685000000001,4501.6375,8441.0475,12560.168333333333,4393.258333333333,8166.91,1821.5,9243.05039090586,3314.961319533004,6059.962692279962,6422.46,1860.3000000000002,4562.16,,,4.744989154013015,0.7049056310537599,0.6568034841980162,0.0,0.0,4.0,0,0,0,1,0
2024-04-01,1,6384.28,2029.1999999999998,4355.08,768,2,0,0,2,0.682156797634189,14,4,2,0.992708874098054,-0.12053668025532288,0.8660254037844387,-0.4999999999999998,8693.880000000001,2803.1,5890.78,8749.76,2581.3,6168.46,17541.2,7099.599999999999,10441.6,2080.25,662.5,1417.75,1453.0,3370.0,14542.262499999999,4964.475,9577.7875,12727.303750000001,4335.375,8391.928750000001,12375.537499999999,4308.316666666667,8067.220833333333,2120.0,7104.776463771277,2627.7463454133713,4647.868581600065,-8847.32,-4296.5,-4550.820000000001,,,5.979284731774416,0.6774998619877444,0.6585721395044614,0.0,0.0,4.0,0,0,0,1,0
2024-04-08,1,12149.630000000001,4289.6,7860.030000000001,3181,3,1,0,2,0.6469357503067995,15,4,2,0.9709418174260521,-0.2393156642875575,0.8660254037844387,-0.4999999999999998,6384.28,2029.1999999999998,4355.08,8693.880000000001,2803.1,5890.78,23184.21,7373.9,15810.310000000001,21541.63,7168.8,14372.830000000002,768.0,1814.0,11753.0325,3696.875,8056.157500000001,13265.3075,4506.2125,8759.095000000001,12389.38,4319.166666666666,8070.213333333333,1469.5,7700.0732068008065,2472.8522052817198,5230.586876673114,-16799.93,-5344.7,-11455.230000000001,,,8.302054616384915,0.6820499649193145,0.6853952037311452,6384.28,0.0,2.0,0,0,0,1,0
2024-04-15,1,11340.830000000002,3974.8999999999996,7365.93,1713,3,0,1,4,0.6495053712999841,16,4,2,0.9350162426854148,-0.35460488704253545,0.8660254037844387,-0.4999999999999998,12149.630000000001,4289.6,7860.030000000001,6384.28,2029.1999999999998,4355.08,8749.76,2581.3,6168.46,17700.2,6272.799999999999,11427.400000000001,3181.0,1843.0,8994.3875,2925.8,6068.5875,12091.307499999999,4146.3125,7944.995000000001,12047.544166666667,4186.041666666667,7861.5025,1811.25,2374.753584878167,965.6737785953729,1436.0784805243054,3399.870000000001,1708.3000000000002,1691.5700000000006,,,3.818236957888121,0.6468825073267805,0.6746332495403894,0.0,12149.630000000001,2.0,0,0,0,1,0
